Reporting Starts,Reporting Ends,Campaign Name,Delivery,Results,Result Indicator,Reach,Cost per Results,Amount Spent (RUB),Ends
2017-08-30,2017-09-14,,0,168,actions:offsite_conversion.fb_pixel_lead,356657,322.1086904762,54114.26,
2017-08-30,2017-08-30,PowerUP GR -s21396,active,,,0,,0,Триває
2017-08-31,2017-08-31,PowerUP GR -s21396,active,,,0,,0,Триває
2017-09-01,2017-09-01,PowerUP GR -s21396,active,,,0,,0,Триває
2017-09-02,2017-09-02,PowerUP GR -s21396,active,,,0,,0,Триває
2017-09-03,2017-09-03,PowerUP GR -s21396,active,,,0,,0,Триває
2017-09-04,2017-09-04,PowerUP GR -s21396,active,,,8158,,687.52,Триває
2017-09-05,2017-09-05,PowerUP GR -s21396,active,2,actions:offsite_conversion.fb_pixel_lead,6383,304.325,608.65,Триває
2017-09-06,2017-09-06,PowerUP GR -s21396,active,4,actions:offsite_conversion.fb_pixel_lead,6137,151.28,605.12,Триває
2017-09-07,2017-09-07,PowerUP GR -s21396,active,3,actions:offsite_conversion.fb_pixel_lead,5608,197.66,592.98,Триває
2017-09-08,2017-09-08,PowerUP GR -s21396,active,,,3003,,366.1,Триває
2017-09-09,2017-09-09,PowerUP GR -s21396,active,1,actions:offsite_conversion.fb_pixel_lead,2553,295.54,295.54,Триває
2017-09-10,2017-09-10,PowerUP GR -s21396,active,,,2616,,294.84,Триває
2017-09-11,2017-09-11,PowerUP GR -s21396,active,2,actions:offsite_conversion.fb_pixel_lead,5276,303.945,607.89,Триває
2017-09-12,2017-09-12,PowerUP GR -s21396,active,1,actions:offsite_conversion.fb_pixel_lead,6529,774.88,774.88,Триває
2017-09-13,2017-09-13,PowerUP GR -s21396,active,2,actions:offsite_conversion.fb_pixel_lead,6764,393.92,787.84,Триває
2017-09-14,2017-09-14,PowerUP GR -s21396,active,1,actions:offsite_conversion.fb_pixel_lead,2816,380.81,380.81,Триває
2017-08-30,2017-08-30,PowerUP PT -s18002,active,,,0,,0,Триває
2017-08-31,2017-08-31,PowerUP PT -s18002,active,,,0,,0,Триває
2017-09-01,2017-09-01,PowerUP PT -s18002,active,,,0,,0,Триває
2017-09-02,2017-09-02,PowerUP PT -s18002,active,,,0,,0,Триває
2017-09-03,2017-09-03,PowerUP PT -s18002,active,2,actions:offsite_conversion.fb_pixel_lead,4251,246.245,492.49,Триває
2017-09-04,2017-09-04,PowerUP PT -s18002,active,2,actions:offsite_conversion.fb_pixel_lead,10761,501.8,1003.6,Триває
2017-09-05,2017-09-05,PowerUP PT -s18002,active,3,actions:offsite_conversion.fb_pixel_lead,8138,309.4033333333,928.21,Триває
2017-09-06,2017-09-06,PowerUP PT -s18002,active,3,actions:offsite_conversion.fb_pixel_lead,7196,281.49,844.47,Триває
2017-09-07,2017-09-07,PowerUP PT -s18002,active,1,actions:offsite_conversion.fb_pixel_lead,6558,815.51,815.51,Триває
2017-09-08,2017-09-08,PowerUP PT -s18002,active,5,actions:offsite_conversion.fb_pixel_lead,5865,159.696,798.48,Триває
2017-09-09,2017-09-09,PowerUP PT -s18002,active,,,5025,,739.4,Триває
2017-09-10,2017-09-10,PowerUP PT -s18002,active,5,actions:offsite_conversion.fb_pixel_lead,5633,164.018,820.09,Триває
2017-09-11,2017-09-11,PowerUP PT -s18002,active,2,actions:offsite_conversion.fb_pixel_lead,4435,368.54,737.08,Триває
2017-09-12,2017-09-12,PowerUP PT -s18002,active,2,actions:offsite_conversion.fb_pixel_lead,3931,290.525,581.05,Триває
2017-09-13,2017-09-13,PowerUP PT -s18002,active,4,actions:offsite_conversion.fb_pixel_lead,4280,152.175,608.7,Триває
2017-09-14,2017-09-14,PowerUP PT -s18002,active,,,1760,,274.17,Триває
2017-08-30,2017-08-30,PowerUP RO -s20625,active,,,0,,0,Триває
2017-08-31,2017-08-31,PowerUP RO -s20625,active,,,0,,0,Триває
2017-09-01,2017-09-01,PowerUP RO -s20625,active,,,0,,0,Триває
2017-09-02,2017-09-02,PowerUP RO -s20625,active,,,0,,0,Триває
2017-09-03,2017-09-03,PowerUP RO -s20625,active,4,actions:offsite_conversion.fb_pixel_lead,5806,131.9725,527.89,Триває
2017-09-04,2017-09-04,PowerUP RO -s20625,active,7,actions:offsite_conversion.fb_pixel_lead,12522,160.2657142857,1121.86,Триває
2017-09-05,2017-09-05,PowerUP RO -s20625,active,13,actions:offsite_conversion.fb_pixel_lead,27325,200.7792307692,2610.13,Триває
2017-09-06,2017-09-06,PowerUP RO -s20625,active,8,actions:offsite_conversion.fb_pixel_lead,33853,347.38625,2779.09,Триває
2017-09-07,2017-09-07,PowerUP RO -s20625,active,7,actions:offsite_conversion.fb_pixel_lead,29485,371.0857142857,2597.6,Триває
2017-09-08,2017-09-08,PowerUP RO -s20625,active,10,actions:offsite_conversion.fb_pixel_lead,29613,255.023,2550.23,Триває
2017-09-09,2017-09-09,PowerUP RO -s20625,active,8,actions:offsite_conversion.fb_pixel_lead,22789,283.00625,2264.05,Триває
2017-09-10,2017-09-10,PowerUP RO -s20625,active,5,actions:offsite_conversion.fb_pixel_lead,26484,478.93,2394.65,Триває
2017-09-11,2017-09-11,PowerUP RO -s20625,active,10,actions:offsite_conversion.fb_pixel_lead,24116,230.049,2300.49,Триває
2017-09-12,2017-09-12,PowerUP RO -s20625,active,10,actions:offsite_conversion.fb_pixel_lead,40734,332.593,3325.93,Триває
2017-09-13,2017-09-13,PowerUP RO -s20625,active,12,actions:offsite_conversion.fb_pixel_lead,41058,296.8208333333,3561.85,Триває
2017-09-14,2017-09-14,PowerUP RO -s20625,active,4,actions:offsite_conversion.fb_pixel_lead,16283,415.4325,1661.73,Триває
2017-08-30,2017-08-30,PowerUP PL -s20645,inactive,,,0,,0,Триває
2017-08-31,2017-08-31,PowerUP PL -s20645,inactive,,,0,,0,Триває
2017-09-01,2017-09-01,PowerUP PL -s20645,inactive,,,0,,0,Триває
2017-09-02,2017-09-02,PowerUP PL -s20645,inactive,,,0,,0,Триває
2017-09-03,2017-09-03,PowerUP PL -s20645,inactive,,,7738,,748.15,Триває
2017-09-04,2017-09-04,PowerUP PL -s20645,inactive,3,actions:offsite_conversion.fb_pixel_lead,14624,386.08,1158.24,Триває
2017-09-05,2017-09-05,PowerUP PL -s20645,inactive,4,actions:offsite_conversion.fb_pixel_lead,12143,315.0375,1260.15,Триває
2017-09-06,2017-09-06,PowerUP PL -s20645,inactive,3,actions:offsite_conversion.fb_pixel_lead,12687,386.2833333333,1158.85,Триває
2017-09-07,2017-09-07,PowerUP PL -s20645,inactive,1,actions:offsite_conversion.fb_pixel_lead,8686,919.6,919.6,Триває
2017-09-08,2017-09-08,PowerUP PL -s20645,inactive,,,1655,,228.9,Триває
2017-09-09,2017-09-09,PowerUP PL -s20645,inactive,,,0,,0,Триває
2017-09-10,2017-09-10,PowerUP PL -s20645,inactive,,,0,,0,Триває
2017-09-11,2017-09-11,PowerUP PL -s20645,inactive,,,0,,0,Триває
2017-09-12,2017-09-12,PowerUP PL -s20645,inactive,,,0,,0,Триває
2017-09-13,2017-09-13,PowerUP PL -s20645,inactive,,,0,,0,Триває
2017-09-14,2017-09-14,PowerUP PL -s20645,inactive,,,0,,0,Триває
2017-08-30,2017-08-30,PowerUP BG -s20650,inactive,,,1660,,111.58,Триває
2017-08-31,2017-08-31,PowerUP BG -s20650,inactive,,,1094,,88.23,Триває
2017-09-01,2017-09-01,PowerUP BG -s20650,inactive,,,0,,0,Триває
2017-09-02,2017-09-02,PowerUP BG -s20650,inactive,,,15054,,944.5,Триває
2017-09-03,2017-09-03,PowerUP BG -s20650,inactive,3,actions:offsite_conversion.fb_pixel_lead,15276,279.1833333333,837.55,Триває
2017-09-04,2017-09-04,PowerUP BG -s20650,inactive,3,actions:offsite_conversion.fb_pixel_lead,19961,422.09,1266.27,Триває
2017-09-05,2017-09-05,PowerUP BG -s20650,inactive,5,actions:offsite_conversion.fb_pixel_lead,15481,236.782,1183.91,Триває
2017-09-06,2017-09-06,PowerUP BG -s20650,inactive,2,actions:offsite_conversion.fb_pixel_lead,16303,597.42,1194.84,Триває
2017-09-07,2017-09-07,PowerUP BG -s20650,inactive,,,7211,,533.47,Триває
2017-09-08,2017-09-08,PowerUP BG -s20650,inactive,1,actions:offsite_conversion.fb_pixel_lead,1737,139.1,139.1,Триває
2017-09-09,2017-09-09,PowerUP BG -s20650,inactive,,,0,,0,Триває
2017-09-10,2017-09-10,PowerUP BG -s20650,inactive,,,0,,0,Триває
2017-09-11,2017-09-11,PowerUP BG -s20650,inactive,,,0,,0,Триває
2017-09-12,2017-09-12,PowerUP BG -s20650,inactive,,,0,,0,Триває
2017-09-13,2017-09-13,PowerUP BG -s20650,inactive,,,0,,0,Триває
2017-09-14,2017-09-14,PowerUP BG -s20650,inactive,,,0,,0,Триває
